OrderID,OrderDate,ProductCategory,ProductName,Region,State,SalesAmount,Quantity,Profit
ORD0001,27-10-2024,Groceries,Wheat,North,Haryana,20840,8,1445.4
ORD0002,02-01-2024,Furniture,Sofa,South,Karnataka,34360,8,2880.17
ORD0003,20-12-2023,Groceries,Rice,North,Punjab,23408,8,5489.85
ORD0004,01-06-2024,Electronics,Smartwatch,East,Odisha,2278,2,536.88
ORD0005,19-10-2023,Clothing,Shirt,East,Bihar,1098,1,56.05
ORD0006,20-10-2023,Clothing,Shirt,West,Rajasthan,10482,3,588.48
ORD0007,12-06-2024,Electronics,Mobile,West,Gujarat,18162,9,3843.41
ORD0008,05-01-2023,Furniture,Table,West,Maharashtra,4375,5,919
ORD0009,21-09-2023,Electronics,Headphones,West,Gujarat,45140,10,6421.62
ORD0010,21-05-2024,Electronics,Headphones,East,Bihar,10017,9,727.57
ORD0011,05-02-2023,Groceries,Oil,East,Odisha,12456,3,686.97
ORD0012,05-03-2024,Furniture,Cupboard,West,Maharashtra,16779,7,1891.84
ORD0013,23-07-2023,Groceries,Sugar,West,Rajasthan,4012,2,526.85
ORD0014,04-11-2023,Electronics,Headphones,North,Punjab,9372,2,973.42
ORD0015,30-09-2023,Electronics,Headphones,East,West Bengal,8618,2,1905.86
ORD0016,22-03-2024,Groceries,Rice,South,Tamil Nadu,24230,5,1352.15
ORD0017,12-04-2024,Furniture,Chair,South,Tamil Nadu,17905,5,3094.91
ORD0018,24-07-2023,Furniture,Table,South,Karnataka,12640,5,1232.82
ORD0019,27-05-2023,Electronics,Headphones,West,Gujarat,24750,5,3444.06
ORD0020,23-09-2024,Furniture,Sofa,North,Punjab,17604,4,1253.18
ORD0021,17-02-2023,Groceries,Oil,East,Odisha,13408,4,3252.49
ORD0022,20-02-2023,Groceries,Rice,East,West Bengal,2365,1,527.1
ORD0023,24-02-2023,Furniture,Chair,West,Maharashtra,13902,3,2614.8
ORD0024,11-01-2024,Electronics,Mobile,East,Odisha,38264,8,9441.43
ORD0025,21-09-2024,Clothing,Jacket,South,Karnataka,37233,9,6538.47
