Category,Age,Gender,Quantity,Region,DATE,SALES
Groceries,61,Female,1,North,2020-09-21,1519
Electronics,57,Female,9,West,2020-10-08,2097
Groceries,31,Male,3,West,2022-04-18,2121
Toys,55,Female,3,East,2023-10-08,3624
Electronics,28,Male,1,West,2022-06-24,488
Furniture,23,Female,7,North,2020-10-18,6482
Electronics,26,Female,2,South,2020-06-21,3018
Groceries,51,Male,9,West,2024-01-12,9774
Clothing,20,Male,7,South,2021-08-23,8512
Beauty,60,Male,7,North,2022-07-22,8729
Furniture,32,Male,6,North,2023-04-29,714
Furniture,58,Female,2,West,2023-11-30,3454
Beauty,64,Male,8,West,2022-02-21,1616
Beauty,59,Female,9,South,2020-03-08,10584
Beauty,35,Female,3,South,2020-02-26,4266
Electronics,31,Female,5,South,2020-07-12,900
Toys,25,Male,2,East,2020-12-14,3396
Beauty,54,Female,7,East,2022-01-03,826
Beauty,44,Male,2,East,2021-02-13,780
Toys,44,Female,7,West,2020-01-22,6755
Beauty,30,Male,10,West,2021-07-02,13690
Toys,36,Female,5,East,2020-06-01,8920
Furniture,49,Male,3,South,2023-05-28,4323
Electronics,61,Female,9,North,2021-04-13,16884
Electronics,30,Male,10,North,2023-11-25,6370
Electronics,45,Male,2,East,2023-01-06,3874
Clothing,32,Male,8,East,2023-10-12,8544
Toys,39,Male,10,South,2020-11-04,7010
Groceries,62,Female,6,West,2023-03-14,2736
Electronics,28,Male,5,East,2021-02-19,9875
Beauty,51,Female,4,South,2021-08-12,2524
Groceries,25,Male,7,North,2024-01-02,3920
Clothing,49,Female,7,West,2022-10-10,13832
Groceries,31,Male,2,North,2022-06-03,610
Clothing,49,Female,7,South,2024-02-04,3269
Clothing,51,Female,9,West,2022-02-01,1998
Groceries,18,Male,10,West,2023-08-18,2910
Toys,46,Female,10,East,2021-11-18,15120
Toys,31,Male,6,North,2020-01-19,9798
Groceries,23,Female,4,East,2021-07-18,3172
Beauty,58,Male,7,South,2021-06-07,3591
Groceries,25,Male,9,North,2023-09-26,6984
Clothing,41,Female,4,South,2023-04-05,1804
Furniture,21,Female,3,West,2023-01-08,603
Toys,44,Male,6,South,2020-03-30,9210
Beauty,51,Male,6,East,2020-09-18,7434
Toys,56,Male,5,North,2023-09-22,7890
Toys,58,Female,8,West,2020-10-31,15616
Electronics,21,Female,10,West,2022-11-11,17660
Beauty,62,Male,2,South,2023-05-31,3940
Toys,20,Male,3,West,2021-09-17,4803
Toys,26,Female,1,North,2022-01-20,1388
Groceries,54,Female,4,East,2020-11-24,1168
Clothing,50,Female,2,West,2020-04-07,1078
Electronics,49,Male,5,South,2021-01-13,6055
Clothing,65,Female,10,East,2023-09-08,9480
Beauty,32,Female,10,North,2020-02-25,8560
Clothing,47,Male,6,North,2023-09-21,11028
Electronics,52,Male,10,West,2023-01-05,1160
Furniture,55,Male,2,East,2022-06-08,778
Clothing,57,Male,10,South,2020-10-29,7840
Furniture,30,Male,8,East,2024-01-26,9784
Electronics,30,Female,7,North,2023-01-06,3787
Beauty,30,Male,5,North,2022-07-19,5915
Furniture,19,Male,4,North,2023-05-14,1268
Clothing,57,Female,9,South,2023-09-14,8208
Electronics,18,Male,2,West,2023-10-28,2680
Electronics,23,Female,1,East,2022-01-14,1262
Clothing,44,Male,10,South,2020-02-22,17030
Furniture,34,Female,2,West,2020-04-07,1784
Toys,65,Female,2,West,2020-05-11,540
Furniture,49,Female,2,North,2024-01-21,3350
Toys,37,Female,6,East,2020-10-06,3048
Beauty,26,Male,3,West,2022-03-04,480
Clothing,58,Female,3,South,2021-09-26,1482
Electronics,63,Male,6,East,2024-02-03,10674
Beauty,52,Female,10,East,2022-10-10,17210
Furniture,57,Male,2,East,2020-07-02,3204
Clothing,19,Male,5,West,2021-09-27,8620
Electronics,51,Female,1,West,2021-09-05,1471
Beauty,26,Female,10,South,2022-08-27,5040
Groceries,41,Male,1,East,2021-07-26,543
Clothing,43,Female,9,East,2023-01-29,10782
Beauty,46,Female,4,West,2020-02-21,6572
Toys,45,Male,9,West,2020-05-08,13428
Groceries,45,Male,7,North,2023-10-07,4179
Electronics,61,Male,5,East,2022-10-18,6150
Clothing,18,Female,5,West,2024-02-08,3040
Groceries,26,Female,9,North,2020-05-26,1215
Toys,21,Male,8,West,2020-02-04,4720
Clothing,50,Female,10,East,2020-04-02,8570
Electronics,57,Female,1,South,2022-01-29,700
Clothing,52,Female,9,South,2023-01-22,13158
Clothing,59,Male,10,North,2021-03-20,8870
Beauty,30,Male,3,South,2021-03-21,4812
Furniture,30,Female,3,East,2023-07-20,2598
Furniture,18,Male,4,South,2022-07-10,5460
Electronics,56,Female,4,West,2023-07-25,2992
Furniture,21,Male,3,South,2020-11-04,5067
Groceries,23,Male,4,West,2023-12-08,1112
Beauty,32,Female,1,East,2020-12-24,419
Beauty,57,Female,5,North,2020-09-27,9020
Furniture,57,Male,1,North,2021-03-02,1318
Toys,21,Male,9,North,2023-09-25,17469
Beauty,43,Male,2,South,2022-06-15,1942
Toys,50,Male,10,North,2020-04-05,9360
Clothing,60,Male,1,West,2024-01-10,716
Beauty,32,Male,10,West,2021-03-22,8020
Clothing,42,Male,8,West,2023-03-15,6488
Clothing,54,Female,6,South,2021-01-16,6678
Toys,27,Female,2,South,2021-12-15,910
Clothing,39,Female,7,West,2020-11-21,11494
Toys,40,Female,7,East,2020-10-04,910
Groceries,55,Male,2,North,2021-01-25,1808
Toys,63,Male,7,North,2023-12-18,9373
Furniture,59,Male,10,East,2021-08-05,16120
Clothing,41,Male,3,East,2022-12-16,2667
Electronics,28,Male,4,East,2023-07-04,6364
Groceries,47,Male,3,South,2023-11-24,2478
Clothing,55,Female,4,North,2021-08-06,5476
Groceries,59,Female,1,South,2020-03-01,1179
Clothing,20,Male,3,West,2020-10-08,2262
Clothing,65,Male,10,South,2021-05-24,17350
Groceries,28,Female,5,East,2021-02-20,2405
Furniture,30,Female,3,West,2023-03-21,5775
Toys,25,Male,7,South,2020-09-26,3500
Beauty,52,Male,10,South,2022-07-28,3540
Toys,57,Female,9,North,2021-07-17,4041
Clothing,49,Male,3,East,2022-07-24,4176
Groceries,57,Female,9,East,2024-01-05,3150
Clothing,47,Male,4,East,2022-01-20,7748
Beauty,24,Female,4,West,2020-08-08,1156
Furniture,35,Female,9,North,2023-03-29,16614
Groceries,20,Female,5,South,2023-06-30,9435
Groceries,30,Female,8,East,2021-08-07,1440
Toys,21,Female,10,North,2021-08-07,5480
Beauty,54,Female,10,South,2020-02-11,17270
Furniture,45,Female,4,North,2020-01-17,2680
Toys,44,Male,9,South,2023-06-23,17298
Beauty,23,Male,9,North,2022-12-14,13383
Electronics,53,Female,8,East,2020-12-25,3944
Groceries,36,Female,8,East,2021-12-16,4920
Furniture,37,Female,4,East,2020-10-10,4520
Groceries,45,Female,3,West,2021-03-05,1374
Beauty,41,Female,3,North,2023-10-15,5157
Toys,63,Female,4,West,2023-05-14,2764
Clothing,44,Female,9,West,2020-02-10,2781
Electronics,49,Female,7,West,2020-03-30,2093
Clothing,19,Male,3,South,2021-04-12,4314
Furniture,49,Male,3,North,2020-09-17,1722
Clothing,54,Female,3,West,2020-05-02,4200
