DATE,SALES
01-01-2023,677
02-01-2023,183
03-01-2023,862
04-01-2023,376
05-01-2023,952
06-01-2023,206
07-01-2023,979
08-01-2023,384
09-01-2023,564
10-01-2023,664
11-01-2023,192
12-01-2023,102
13-01-2023,101
14-01-2023,829
15-01-2023,540
16-01-2023,184
17-01-2023,142
18-01-2023,327
19-01-2023,104
20-01-2023,968
21-01-2023,306
22-01-2023,293
23-01-2023,633
24-01-2023,919
25-01-2023,202
26-01-2023,348
27-01-2023,663
28-01-2023,480
29-01-2023,734
30-01-2023,995
31-01-2023,880
01-02-2023,484
02-02-2023,915
03-02-2023,998
04-02-2023,728
05-02-2023,469
06-02-2023,984
07-02-2023,612
08-02-2023,487
09-02-2023,925
10-02-2023,121
11-02-2023,499
12-02-2023,786
13-02-2023,772
14-02-2023,791
15-02-2023,871
16-02-2023,975
17-02-2023,738
18-02-2023,159
19-02-2023,550
20-02-2023,283
21-02-2023,717
22-02-2023,262
23-02-2023,650
24-02-2023,946
25-02-2023,885
26-02-2023,468
27-02-2023,689
28-02-2023,154
01-03-2023,491
02-03-2023,752
03-03-2023,452
04-03-2023,959
05-03-2023,122
06-03-2023,818
07-03-2023,296
08-03-2023,583
09-03-2023,251
10-03-2023,721
11-03-2023,466
12-03-2023,153
13-03-2023,504
14-03-2023,694
15-03-2023,341
16-03-2023,176
17-03-2023,820
18-03-2023,526
19-03-2023,923
20-03-2023,467
21-03-2023,860
22-03-2023,207
23-03-2023,477
24-03-2023,433
25-03-2023,706
26-03-2023,281
27-03-2023,805
28-03-2023,209
29-03-2023,313
30-03-2023,239
31-03-2023,625
01-04-2023,527
02-04-2023,445
03-04-2023,746
04-04-2023,481
05-04-2023,749
06-04-2023,253
07-04-2023,482
08-04-2023,542
09-04-2023,654
10-04-2023,623
11-04-2023,329
12-04-2023,658
13-04-2023,280
14-04-2023,746
15-04-2023,717
16-04-2023,569
17-04-2023,208
18-04-2023,632
19-04-2023,907
20-04-2023,996
21-04-2023,771
22-04-2023,585
23-04-2023,417
24-04-2023,240
25-04-2023,931
26-04-2023,976
27-04-2023,118
28-04-2023,668
29-04-2023,854
30-04-2023,482
01-05-2023,832
02-05-2023,753
03-05-2023,905
04-05-2023,118
05-05-2023,643
06-05-2023,389
07-05-2023,985
08-05-2023,540
09-05-2023,939
10-05-2023,670
11-05-2023,630
12-05-2023,184
13-05-2023,896
14-05-2023,378
