Student_ID,Gender,Degree,Specialization,College,Year_of_Passout,CGPA,Internships,Certifications,Skills,Employment_Status,Job_Role,Company_Type,Salary,Location
S001,Female,BA,Psychology,Elite Institute,2022,8.7,No,No,"Financial Modeling, Content Writing",Unemployed,NA,NA,0,Kolkata
S002,Male,B.Sc,Chemistry,XYZ Engineering,2023,7.5,No,No,HTML,Employed,Content Writer,Private,756350,Mumbai
S003,Female,B.Com,Taxation,City College,2024,6.9,Yes,No,"HTML, Python, Embedded Systems",Unemployed,NA,NA,0,Pune
S004,Male,B.Tech,Computer Science,Elite Institute,2024,7.6,Yes,No,"Tally, SQL, Content Writing",Unemployed,NA,NA,0,Bangalore
S005,Male,B.Sc,Chemistry,ABC College,2024,6.6,No,Yes,"Embedded Systems, Content Writing",Unemployed,NA,NA,0,Varanasi
S006,Female,B.Sc,Physics,Elite Institute,2021,5.0,No,No,"Excel, Financial Modeling, Python",Unemployed,NA,NA,0,Lucknow
S007,Male,BA,History,Tech University,2024,6.2,No,Yes,"HTML, Content Writing, AutoCAD",Unemployed,NA,NA,0,Kolkata
S008,Female,B.Sc,Computer Science,City College,2024,5.3,No,No,"Python, Embedded Systems, Financial Modeling",Unemployed,NA,NA,0,Bangalore
S009,Female,B.Tech,Mechanical,Elite Institute,2024,6.6,Yes,No,"Tally, Power BI",Unemployed,NA,NA,0,Chennai
S010,Female,B.Com,Finance,ABC College,2024,9.5,No,Yes,CSS,Unemployed,NA,NA,0,Mumbai
S011,Female,MBA,Operations,Elite Institute,2024,9.0,No,No,ML,Unemployed,NA,NA,0,Chennai
S012,Female,B.Sc,Chemistry,Tech University,2022,5.2,No,No,Python,Unemployed,NA,NA,0,Varanasi
S013,Male,B.Sc,Chemistry,Sunrise College,2023,5.1,Yes,No,"AutoCAD, Power BI",Unemployed,NA,NA,0,Hyderabad
S014,Female,MBA,HR,Tech University,2022,8.8,Yes,No,"AutoCAD, AI",Unemployed,NA,NA,0,Jaipur
S015,Female,BA,History,ABC College,2024,9.4,Yes,No,AI,Unemployed,NA,NA,0,Kolkata
S016,Female,MBA,Marketing,Govt College,2020,6.7,Yes,No,"ML, JavaScript, CSS",Unemployed,NA,NA,0,Hyderabad
S017,Female,BCA,Networking,ABC College,2023,9.1,Yes,No,"AI, SQL, Embedded Systems",Unemployed,NA,NA,0,Pune
S018,Female,MBA,Operations,XYZ Engineering,2021,6.9,No,Yes,Content Writing,Employed,HR Executive,Startup,344368,Pune
S019,Female,MBA,HR,Sunrise College,2022,8.2,Yes,No,"CSS, HTML",Unemployed,NA,NA,0,Mumbai
S020,Male,B.Tech,EEE,XYZ Engineering,2024,7.1,Yes,No,"Financial Modeling, Python",Unemployed,NA,NA,0,Guntur
S021,Female,B.Sc,Computer Science,XYZ Engineering,2022,6.9,No,No,"Content Writing, SQL",Employed,Marketing Executive,MNC,296785,Chennai
S022,Male,BA,History,City College,2021,5.8,No,No,"Power BI, HTML, AI",Unemployed,NA,NA,0,Chennai
S023,Female,B.Sc,Computer Science,Elite Institute,2021,7.8,No,Yes,JavaScript,Unemployed,NA,NA,0,Vizag
S024,Male,BA,English,Tech University,2022,6.1,Yes,Yes,"CSS, Financial Modeling",Employed,Research Assistant,Private,645661,Delhi
S025,Male,BA,Psychology,ABC College,2021,8.9,No,No,"HTML, Power BI",Unemployed,NA,NA,0,Patna
S026,Male,B.Com,Taxation,Govt College,2021,7.4,No,No,Tally,Employed,Accountant,Private,773552,Indore
S027,Female,MBA,Finance,XYZ Engineering,2022,7.4,Yes,Yes,"CSS, Embedded Systems, AutoCAD",Unemployed,NA,NA,0,Chennai
S028,Female,B.Tech,Data Science,Elite Institute,2022,8.9,No,No,"HTML, Excel, AutoCAD",Employed,Web Developer,Private,1083053,Chennai
S029,Female,BA,History,ABC College,2021,7.9,Yes,No,Power BI,Employed,Data Analyst,NGO,413531,Chennai
S030,Male,MBA,Finance,City College,2022,7.5,No,Yes,"Excel, SQL",Unemployed,NA,NA,0,Guntur
S031,Male,B.Sc,Chemistry,City College,2020,6.4,Yes,No,"HTML, Financial Modeling, CSS",Employed,Content Writer,Startup,296103,Indore
S032,Male,BA,Economics,XYZ Engineering,2023,5.5,No,Yes,Financial Modeling,Employed,Data Analyst,NGO,645186,Guntur
S033,Female,BA,Economics,XYZ Engineering,2022,7.0,Yes,Yes,"Financial Modeling, Excel",Employed,ML Engineer,Private,541538,Mumbai
S034,Male,B.Sc,Mathematics,Tech University,2021,5.7,Yes,Yes,"SQL, Excel, Power BI",Employed,ML Engineer,Private,223017,Mumbai
S035,Male,B.Sc,Mathematics,Sunrise College,2024,9.5,No,Yes,"Embedded Systems, CSS, SQL",Unemployed,NA,NA,0,Lucknow
S036,Female,B.Sc,Chemistry,Govt College,2021,5.6,Yes,Yes,"Excel, Content Writing, HTML",Unemployed,NA,NA,0,Patna
S037,Female,B.Com,Finance,Govt College,2021,5.9,No,No,"Tally, CSS, Python",Unemployed,NA,NA,0,Kolkata
